# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
-0.55	0.00306182
-0.5	0.00306182
-0.45	0.00306182
-0.4	0.00306181
-0.35	0.00306181
-0.3	0.00306181
-0.25	0.00306181
-0.2	0.00306181
-0.15	0.0030618
-0.1	0.0030618
-0.05	0.0030618
0	0.0030618
0.05	0.0030618
0.1	0.00306179
0.15	0.00306179
0.2	0.00306179
0.25	0.00306179
0.3	0.00306178
0.35	0.00306178
0.4	0.00306178
0.45	0.00306178
0.5	0.00306177
0.55	0.00306177
0.6	0.00306177
0.65	0.00306177
0.7	0.00306176
0.75	0.00306176
0.8	0.00306176
0.85	0.00306176
0.9	0.00306175
0.95	0.00306175
1	0.00306175
1.05	0.00306174
1.1	0.00306174
1.15	0.00306174
1.2	0.00306174
1.25	0.00306173
1.3	0.00306173
1.35	0.00306173
1.4	0.00306172
1.45	0.00306172
1.5	0.00306172
1.55	0.00306171
1.6	0.00306171
1.65	0.00306171
1.7	0.0030617
1.75	0.0030617
1.8	0.0030617
1.85	0.00306169
1.9	0.00306169
1.95	0.00306169
2	0.00306168
2.05	0.00306168
2.1	0.00306168
2.15	0.00306167
2.2	0.00306167
2.25	0.00306166
2.3	0.00306166
2.35	0.00306166
2.4	0.00306165
2.45	0.00306165
2.5	0.00306165
2.55	0.00306164
2.6	0.00306164
2.65	0.00306163
2.7	0.00306163
2.75	0.00306162
2.8	0.00306162
2.85	0.00306162
2.9	0.00306161
2.95	0.00306161
3	0.0030616
3.05	0.0030616
3.1	0.0030616
3.15	0.00306159
3.2	0.00306159
3.25	0.00306158
3.3	0.00306158
3.35	0.00306157
3.4	0.00306157
3.45	0.00306156
3.5	0.00306156
3.55	0.00306155
3.6	0.00306155
3.65	0.00306154
3.7	0.00306154
3.75	0.00306154
3.8	0.00306153
3.85	0.00306153
3.9	0.00306152
3.95	0.00306152
4	0.00306151
4.05	0.00306151
4.1	0.0030615
4.15	0.0030615
4.2	0.00306149
4.25	0.00306149
4.3	0.00306148
4.35	0.00306147
4.4	0.00306147
4.45	0.00306146
4.5	0.00306146
4.55	0.00306145
4.6	0.00306145
4.65	0.00306144
4.7	0.00306144
4.75	0.00306143
4.8	0.00306143
4.85	0.00306142
4.9	0.00306141
4.95	0.00306141
5	0.0030614
5.05	0.0030614
5.1	0.00306139
5.15	0.00306139
5.2	0.00306138
5.25	0.00306137
5.3	0.00306137
5.35	0.00306136
5.4	0.00306136
5.45	0.00306135
5.5	0.00306134
5.55	0.00306134
5.6	0.00306133
5.65	0.00306133
5.7	0.00306132
5.75	0.00306131
5.8	0.00306131
5.85	0.0030613
5.9	0.00306129
5.95	0.00306129
6	0.00306128
6.05	0.00306127
6.1	0.00306127
6.15	0.00306126
6.2	0.00306125
6.25	0.00306125
6.3	0.00306124
6.35	0.00306123
6.4	0.00306123
6.45	0.00306122
6.5	0.00306121
6.55	0.00306121
6.6	0.0030612
6.65	0.00306119
6.7	0.00306119
6.75	0.00306118
6.8	0.00306117
6.85	0.00306117
6.9	0.00306116
6.95	0.00306115
7	0.00306114
7.05	0.00306114
7.1	0.00306113
7.15	0.00306112
7.2	0.00306112
7.25	0.00306111
7.3	0.0030611
7.35	0.00306109
7.4	0.00306109
7.45	0.00306108
7.5	0.00306107
7.55	0.00306106
7.6	0.00306106
7.65	0.00306105
7.7	0.00306104
7.75	0.00306103
7.8	0.00306103
7.85	0.00306102
7.9	0.00306101
7.95	0.003061
8	0.00306099
8.05	0.00306099
8.1	0.00306098
8.15	0.00306097
8.2	0.00306096
8.25	0.00306095
8.3	0.00306095
8.35	0.00306094
8.4	0.00306093
8.45	0.00306092
8.5	0.00306091
8.55	0.00306091
8.6	0.0030609
8.65	0.00306089
8.7	0.00306088
8.75	0.00306087
8.8	0.00306086
8.85	0.00306085
8.9	0.00306085
8.95	0.00306084
9	0.00306083
9.05	0.00306082
9.1	0.00306081
9.15	0.0030608
9.2	0.00306079
9.25	0.00306079
9.3	0.00306078
9.35	0.00306077
9.4	0.00306076
9.45	0.00306075
9.5	0.00306074
9.55	0.00306073
9.6	0.00306072
9.65	0.00306071
9.7	0.00306071
9.75	0.0030607
9.8	0.00306069
9.85	0.00306068
9.9	0.00306067
9.95	0.00306066
10	0.00306065
10.05	0.00306064
10.1	0.00306063
10.15	0.00306062
10.2	0.00306061
10.25	0.0030606
10.3	0.00306059
10.35	0.00306058
10.4	0.00306057
10.45	0.00306056
10.5	0.00306055
10.55	0.00306055
10.6	0.00306054
10.65	0.00306053
10.7	0.00306052
10.75	0.00306051
10.8	0.0030605
10.85	0.00306049
10.9	0.00306048
10.95	0.00306047
11	0.00306046
11.05	0.00306045
11.1	0.00306044
11.15	0.00306043
11.2	0.00306042
11.25	0.00306041
11.3	0.0030604
11.35	0.00306039
11.4	0.00306037
11.45	0.00306036
11.5	0.00306035
11.55	0.00306034
11.6	0.00306033
11.65	0.00306032
11.7	0.00306031
11.75	0.0030603
11.8	0.00306029
11.85	0.00306028
11.9	0.00306027
11.95	0.00306026
12	0.00306025
12.05	0.00306024
12.1	0.00306023
12.15	0.00306022
12.2	0.0030602
12.25	0.00306019
12.3	0.00306018
12.35	0.00306017
12.4	0.00306016
12.45	0.00306015
12.5	0.00306014
12.55	0.00306013
12.6	0.00306012
12.65	0.00306011
12.7	0.00306009
12.75	0.00306008
12.8	0.00306007
12.85	0.00306006
12.9	0.00306005
12.95	0.00306004
13	0.00306003
13.05	0.00306001
13.1	0.00306
13.15	0.00305999
13.2	0.00305998
13.25	0.00305997
13.3	0.00305996
13.35	0.00305994
13.4	0.00305993
13.45	0.00305992
13.5	0.00305991
13.55	0.0030599
13.6	0.00305989
13.65	0.00305987
13.7	0.00305986
13.75	0.00305985
13.8	0.00305984
13.85	0.00305983
13.9	0.00305981
13.95	0.0030598
14	0.00305979
14.05	0.00305978
14.1	0.00305976
14.15	0.00305975
14.2	0.00305974
14.25	0.00305973
14.3	0.00305972
14.35	0.0030597
14.4	0.00305969
14.45	0.00305968
14.5	0.00305967
14.55	0.00305965
14.6	0.00305964
14.65	0.00305963
14.7	0.00305962
14.75	0.0030596
14.8	0.00305959
14.85	0.00305958
14.9	0.00305956
14.95	0.00305955
