# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
-1.25	0.000763971
-1.2	0.000911387
-1.15	0.00105652
-1.1	0.001199
-1.05	0.00133848
-1	0.00147461
-0.95	0.00160704
-0.9	0.00173544
-0.85	0.0018595
-0.8	0.00197889
-0.75	0.00209333
-0.7	0.00220252
-0.65	0.00230619
-0.6	0.00240409
-0.55	0.00249596
-0.5	0.00258157
-0.45	0.00266072
-0.4	0.0027332
-0.35	0.00279883
-0.3	0.00285744
-0.25	0.0029089
-0.2	0.00295307
-0.15	0.00298984
-0.1	0.00301911
-0.05	0.00304082
0	0.00305492
0.05	0.00306135
0.1	0.00306012
0.15	0.00305122
0.2	0.00303467
0.25	0.00301052
0.3	0.00297882
0.35	0.00293966
0.4	0.00289314
0.45	0.00283936
0.5	0.00277847
0.55	0.00271062
0.6	0.00263598
0.65	0.00255473
0.7	0.00246708
0.75	0.00237325
0.8	0.00227347
0.85	0.002168
0.9	0.00205709
0.95	0.00194103
1	0.00182011
1.05	0.00169462
1.1	0.00156489
1.15	0.00143124
1.2	0.001294
1.25	0.00115352
1.3	0.00101015
1.35	0.000864248
1.4	0.000716182
1.45	0.000566321
1.5	0.000415041
1.55	0.000262722
1.6	0.000109745
1.65	-4.35068e-05
1.7	-0.000196649
1.75	-0.000349299
1.8	-0.000501073
1.85	-0.00065159
1.9	-0.000800475
1.95	-0.000947354
2	-0.00109186
2.05	-0.00123363
2.1	-0.0013723
2.15	-0.00150754
2.2	-0.001639
2.25	-0.00176635
2.3	-0.00188928
2.35	-0.00200747
2.4	-0.00212063
2.45	-0.00222848
2.5	-0.00233075
2.55	-0.00242717
2.6	-0.00251751
2.65	-0.00260154
2.7	-0.00267905
2.75	-0.00274985
2.8	-0.00281376
2.85	-0.00287062
2.9	-0.00292029
2.95	-0.00296264
3	-0.00299756
3.05	-0.00302497
3.1	-0.00304481
3.15	-0.00305701
3.2	-0.00306155
3.25	-0.00305843
3.3	-0.00304763
3.35	-0.00302921
3.4	-0.00300319
3.45	-0.00296964
3.5	-0.00292866
3.55	-0.00288034
3.6	-0.0028248
3.65	-0.00276218
3.7	-0.00269264
3.75	-0.00261635
3.8	-0.00253351
3.85	-0.00244432
3.9	-0.00234901
3.95	-0.00224781
4	-0.00214097
4.05	-0.00202878
4.1	-0.0019115
4.15	-0.00178943
4.2	-0.00166288
4.25	-0.00153216
4.3	-0.0013976
4.35	-0.00125954
4.4	-0.00111833
4.45	-0.000974309
4.5	-0.000827851
4.55	-0.00067932
4.6	-0.000529087
4.65	-0.000377529
4.7	-0.000225026
4.75	-7.1959e-05
4.8	8.12876e-05
4.85	0.00023433
4.9	0.000386784
4.95	0.000538269
5	0.000688405
5.05	0.000836815
5.1	0.000983127
5.15	0.00112698
5.2	0.001268
5.25	0.00140585
5.3	0.00154017
5.35	0.00167063
5.4	0.00179691
5.45	0.00191868
5.5	0.00203565
5.55	0.00214751
5.6	0.002254
5.65	0.00235483
5.7	0.00244976
5.75	0.00253856
5.8	0.00262099
5.85	0.00269686
5.9	0.00276596
5.95	0.00282814
6	0.00288323
6.05	0.00293109
6.1	0.00297161
6.15	0.00300469
6.2	0.00303023
6.25	0.00304818
6.3	0.00305849
6.35	0.00306114
6.4	0.00305612
6.45	0.00304344
6.5	0.00302314
6.55	0.00299526
6.6	0.00295987
6.65	0.00291707
6.7	0.00286696
6.75	0.00280967
6.8	0.00274533
6.85	0.00267412
6.9	0.00259621
6.95	0.00251179
7	0.00242108
7.05	0.0023243
7.1	0.0022217
7.15	0.00211353
7.2	0.00200006
7.25	0.00188159
7.3	0.0017584
7.35	0.00163081
7.4	0.00149913
7.45	0.00136369
7.5	0.00122484
7.55	0.00108292
7.6	0.000938282
7.65	0.000791298
7.7	0.000642332
7.75	0.000491757
7.8	0.000339951
7.85	0.000187293
7.9	3.41673e-05
7.95	-0.000119043
8	-0.000271955
8.05	-0.000424185
8.1	-0.00057535
8.15	-0.000725074
8.2	-0.000872979
8.25	-0.0010187
8.3	-0.00116186
8.35	-0.00130211
8.4	-0.0014391
8.45	-0.00157248
8.5	-0.00170192
8.55	-0.0018271
8.6	-0.0019477
8.65	-0.00206341
8.7	-0.00217396
8.75	-0.00227905
8.8	-0.00237844
8.85	-0.00247186
8.9	-0.00255909
8.95	-0.00263991
9	-0.00271411
9.05	-0.00278152
9.1	-0.00284195
9.15	-0.00289526
9.2	-0.00294131
9.25	-0.00297999
9.3	-0.00301121
9.35	-0.00303488
9.4	-0.00305095
9.45	-0.00305937
9.5	-0.00306013
9.55	-0.00305321
9.6	-0.00303865
9.65	-0.00301647
9.7	-0.00298674
9.75	-0.00294952
9.8	-0.00290491
9.85	-0.00285302
9.9	-0.00279399
9.95	-0.00272795
10	-0.00265508
10.05	-0.00257555
10.1	-0.00248957
10.15	-0.00239736
10.2	-0.00229914
10.25	-0.00219515
10.3	-0.00208567
10.35	-0.00197096
10.4	-0.00185132
10.45	-0.00172703
10.5	-0.00159842
10.55	-0.00146581
10.6	-0.00132952
10.65	-0.0011899
10.7	-0.0010473
10.75	-0.00090208
10.8	-0.000754599
10.85	-0.000605227
10.9	-0.000454341
10.95	-0.000302316
11	-0.000149536
11.05	3.61901e-06
11.1	0.000156763
11.15	0.000309514
11.2	0.000461488
11.25	0.000612305
11.3	0.000761586
11.35	0.000908958
11.4	0.00105405
11.45	0.0011965
11.5	0.00133596
11.55	0.00147206
11.6	0.00160447
11.65	0.00173287
