# dt = 0.0001	 dx = 0.05	 Tfinal = 1.5
# numpts = 600	 Focus = 1
-1.15	0.00287378
-1.1	0.00281731
-1.05	0.00275378
-1	0.00268335
-0.95	0.00260619
-0.9	0.00252251
-0.85	0.0024325
-0.8	0.0023364
-0.75	0.00223444
-0.7	0.00212689
-0.65	0.00201401
-0.6	0.00189608
-0.55	0.0017734
-0.5	0.00164627
-0.45	0.00151502
-0.4	0.00137998
-0.35	0.00124147
-0.3	0.00109986
-0.25	0.00095549
-0.2	0.000808726
-0.15	0.000659936
-0.1	0.000509493
-0.05	0.000357773
0	0.000205157
0.05	5.20272e-05
0.1	-0.000101233
0.15	-0.000254239
0.2	-0.000406608
0.25	-0.000557958
0.3	-0.000707909
0.35	-0.000856087
0.4	-0.00100212
0.45	-0.00114564
0.5	-0.00128629
0.55	-0.00142372
0.6	-0.00155758
0.65	-0.00168753
0.7	-0.00181326
0.75	-0.00193444
0.8	-0.00205078
0.85	-0.00216197
0.9	-0.00226775
0.95	-0.00236785
1	-0.00246201
1.05	-0.00255001
1.1	-0.00263161
1.15	-0.00270662
1.2	-0.00277485
1.25	-0.00283612
1.3	-0.00289029
1.35	-0.00293722
1.4	-0.00297678
1.45	-0.00300889
1.5	-0.00303346
1.55	-0.00305042
1.6	-0.00305974
1.65	-0.0030614
1.7	-0.00305538
1.75	-0.00304171
1.8	-0.00302042
1.85	-0.00299155
1.9	-0.0029552
1.95	-0.00291143
2	-0.00286038
2.05	-0.00280215
2.1	-0.0027369
2.15	-0.0026648
2.2	-0.00258602
2.25	-0.00250076
2.3	-0.00240923
2.35	-0.00231166
2.4	-0.00220831
2.45	-0.00209942
2.5	-0.00198527
2.55	-0.00186615
2.6	-0.00174235
2.65	-0.00161418
2.7	-0.00148197
2.75	-0.00134605
2.8	-0.00120675
2.85	-0.00106443
2.9	-0.00091945
2.95	-0.000772161
3	-0.000622937
3.05	-0.000472154
3.1	-0.000320187
3.15	-0.000167419
3.2	-1.42313e-05
3.25	0.000138991
3.3	0.000291865
3.35	0.000444007
3.4	0.000595036
3.45	0.000744574
3.5	0.000892246
3.55	0.00103768
3.6	0.00118052
3.65	0.00132039
3.7	0.00145696
3.75	0.00158987
3.8	0.00171881
3.85	0.00184343
3.9	0.00196344
3.95	0.00207852
4	0.0021884
4.05	0.00229279
4.1	0.00239144
4.15	0.00248409
